n,noise_model,seed,p_noise,q_eve,qber,n_sifted,n_errors
30000,depolarizing,1,0.06,0.6000000000000001,0.17291414752116083,14886,2574
30000,depolarizing,1,0.06,0.65,0.18426709660083299,14886,2743
30000,depolarizing,1,0.06,0.7000000000000001,0.1963589950288862,14886,2923
30000,depolarizing,1,0.06,0.75,0.20408437458014242,14886,3038
30000,depolarizing,1,0.06,0.8,0.21416095660352008,14886,3188
30000,depolarizing,1,0.06,0.8500000000000001,0.22853688029020555,14886,3402
30000,depolarizing,1,0.06,0.9,0.24512965202203413,14886,3649
30000,depolarizing,1,0.06,0.9500000000000001,0.2595055757087196,14886,3863
30000,depolarizing,1,0.06,1.0,0.2635362085180707,14886,3923
30000,depolarizing,1,0.07,0.0,0.03352142953110305,14886,499
30000,depolarizing,1,0.07,0.05,0.04742711272336424,14886,706
30000,depolarizing,1,0.07,0.1,0.06119844148864705,14886,911
30000,depolarizing,1,0.07,0.15000000000000002,0.07046889695015451,14886,1049
30000,depolarizing,1,0.07,0.2,0.08363563079403466,14886,1245
30000,depolarizing,1,0.07,0.25,0.09236866854762864,14886,1375
30000,depolarizing,1,0.07,0.30000000000000004,0.10600564288593309,14886,1578
30000,depolarizing,1,0.07,0.35000000000000003,0.1189036678758565,14886,1770
30000,depolarizing,1,0.07,0.4,0.12985355367459359,14886,1933
30000,depolarizing,1,0.07,0.45,0.1396614268440145,14886,2079
30000,depolarizing,1,0.07,0.5,0.14846164181109767,14886,2210
30000,depolarizing,1,0.07,0.55,0.15457476823861346,14886,2301
30000,depolarizing,1,0.07,0.6000000000000001,0.17654171704957677,14886,2628
30000,depolarizing,1,0.07,0.65,0.1872900712078463,14886,2788
30000,depolarizing,1,0.07,0.7000000000000001,0.20059115947870482,14886,2986
30000,depolarizing,1,0.07,0.75,0.2071745264006449,14886,3084
30000,depolarizing,1,0.07,0.8,0.2175198172779793,14886,3238
30000,depolarizing,1,0.07,0.8500000000000001,0.23108961440279457,14886,3440
30000,depolarizing,1,0.07,0.9,0.24774956334811232,14886,3688
30000,depolarizing,1,0.07,0.9500000000000001,0.26219266424828697,14886,3903
30000,depolarizing,1,0.07,1.0,0.26582023377670294,14886,3957
30000,depolarizing,1,0.08,0.0,0.03896278382372699,14886,580
30000,depolarizing,1,0.08,0.05,0.05280128980249899,14886,786
30000,depolarizing,1,0.08,0.1,0.06637108692731425,14886,988
30000,depolarizing,1,0.08,0.15000000000000002,0.07449952975950558,14886,1109
30000,depolarizing,1,0.08,0.2,0.08921133951363698,14886,1328
30000,depolarizing,1,0.08,0.25,0.09754131398629586,14886,1452
30000,depolarizing,1,0.08,0.30000000000000004,0.11017063012226253,14886,1640
30000,depolarizing,1,0.08,0.35000000000000003,0.12407631331452372,14886,1847
