n,seed,p_noise,q_eve,qber,n_sifted,n_errors
50000,1,0.02,0.25,0.0699772464173087,25051,1753
50000,1,0.02,0.30000000000000004,0.08442776735459662,25051,2115
50000,1,0.02,0.35000000000000003,0.09612390722925232,25051,2408
50000,1,0.02,0.4,0.10754061714103229,25051,2694
50000,1,0.02,0.45,0.12127260388806833,25051,3038
50000,1,0.02,0.5,0.13061354836134287,25051,3272
50000,1,0.02,0.55,0.14494431360025548,25051,3631
50000,1,0.02,0.6000000000000001,0.15783801045866433,25051,3954
50000,1,0.02,0.65,0.1710111372799489,25051,4284
50000,1,0.02,0.7000000000000001,0.1775977006905912,25051,4449
50000,1,0.02,0.75,0.19528162548401262,25051,4892
50000,1,0.02,0.8,0.21204742325655662,25051,5312
50000,1,0.02,0.8500000000000001,0.2167977326254441,25051,5431
50000,1,0.02,0.9,0.2287333838968504,25051,5730
50000,1,0.02,0.9500000000000001,0.24062911660213165,25051,6028
50000,1,0.02,1.0,0.2503293281705321,25051,6271
50000,1,0.03,0.0,0.016366612111292964,25051,410
50000,1,0.03,0.05,0.026426090774819368,25051,662
50000,1,0.03,0.1,0.038401660612350806,25051,962
50000,1,0.03,0.15000000000000002,0.05117560177238434,25051,1282
50000,1,0.03,0.2,0.06378986866791744,25051,1598
50000,1,0.03,0.25,0.07464771865394595,25051,1870
50000,1,0.03,0.30000000000000004,0.08845954253323221,25051,2216
50000,1,0.03,0.35000000000000003,0.1009141351642649,25051,2528
50000,1,0.03,0.4,0.11201149654704402,25051,2806
50000,1,0.03,0.45,0.12570356472795496,25051,3149
50000,1,0.03,0.5,0.13444573070935292,25051,3368
50000,1,0.03,0.55,0.14901600734501616,25051,3733
50000,1,0.03,0.6000000000000001,0.16159035567442417,25051,4048
50000,1,0.03,0.65,0.1751227495908347,25051,4387
50000,1,0.03,0.7000000000000001,0.18115045307572553,25051,4538
50000,1,0.03,0.75,0.19851502934014612,25051,4973
50000,1,0.03,0.8,0.21528082711269012,25051,5393
50000,1,0.03,0.8500000000000001,0.2201508921799529,25051,5515
50000,1,0.03,0.9,0.23168735779010818,25051,5804
50000,1,0.03,0.9500000000000001,0.24398227615664045,25051,6112
50000,1,0.03,1.0,0.2528042792702886,25051,6333
50000,1,0.04,0.0,0.021835455670432317,25051,547
50000,1,0.04,0.05,0.03149574867270768,25051,789
50000,1,0.04,0.1,0.04295237715061275,25051,1076
50000,1,0.04,0.15000000000000002,0.05536705121552034,25051,1387
50000,1,0.04,0.2,0.06865993373518023,25051,1720
50000,1,0.04,0.25,0.07943794658895853,25051,1990
50000,1,0.04,0.30000000000000004,0.09277074767474353,25051,2324
50000,1,0.04,0.35000000000000003,0.10462656181389965,25051,2621
50000,1,0.04,0.4,0.11596343459342941,25051,2905
50000,1,0.04,0.45,0.129136561414714,25051,3235
50000,1,0.04,0.5,0.13767913456548642,25051,3449
50000,1,0.04,0.55,0.15296794539140154,25051,3832
50000,1,0.04,0.6000000000000001,0.16454432956768192,25051,4122
50000,1,0.04,0.65,0.1776775378228414,25051,4451
50000,1,0.04,0.7000000000000001,0.1843439383657339,25051,4618
50000,1,0.04,0.75,0.20150892179952895,25051,5048
50000,1,0.04,0.8,0.21827471957207298,25051,5468
50000,1,0.04,0.8500000000000001,0.22238633188295875,25051,5571
50000,1,0.04,0.9,0.2343619017204902,25051,5871
50000,1,0.04,0.9500000000000001,0.2468963314837731,25051,6185
50000,1,0.04,1.0,0.25539898606842043,25051,6398
50000,1,0.05,0.0,0.02594706798131811,25051,650
50000,1,0.05,0.05,0.03568719811584368,25051,894
